dl_name,long_name,levtype,short_name,default
31.128,Sea ice area fraction,an,ci,
32.128,Snow albedo,an,asn,
33.128,Snow density,an,rsn,1
34.128,Sea surface temperature,an,sst,
35.128,Ice temperature layer 1,an,istl1,
36.128,Ice temperature layer 2,an,istl2,
37.128,Ice temperature layer 3,an,istl3,
38.128,Ice temperature layer 4,an,istl4,
39.128,Volumetric soil water layer 1,an,swvl1,1
40.128,Volumetric soil water layer 2,an,swvl2,1
41.128,Volumetric soil water layer 3,an,swvl3,1
42.128,Volumetric soil water layer 4,an,swvl4,1
53.162,Vertical integral of mass of atmosphere,an,p53.162,
54.162,Vertical integral of temperature,an,p54.162,
55.162,Vertical integral of water vapour,an,p55.162,
56.162,Vertical integral of cloud liquid water,an,p56.162,
57.162,Vertical integral of cloud frozen water,an,p57.162,
58.162,Vertical integral of ozone,an,p58.162,
59.162,Vertical integral of kinetic energy,an,p59.162,
60.162,Vertical integral of thermal energy,an,p60.162,
61.162,Vertical integral of potential+internal energy,an,p61.162,
62.162,Vertical integral of potential+internal+latent energy,an,p62.162,
63.162,Vertical integral of total energy,an,p63.162,
64.162,Vertical integral of energy conversion,an,p64.162,
65.162,Vertical integral of eastward mass flux,an,p65.162,
66.162,Vertical integral of northward mass flux,an,p66.162,
67.162,Vertical integral of eastward kinetic energy flux,an,p67.162,
68.162,Vertical integral of northward kinetic energy flux,an,p68.162,
69.162,Vertical integral of eastward heat flux,an,p69.162,
70.162,Vertical integral of northward heat flux,an,p70.162,
71.162,Vertical integral of eastward water vapour flux,an,p71.162,
72.162,Vertical integral of northward water vapour flux,an,p72.162,
73.162,Vertical integral of eastward geopotential flux,an,p73.162,
74.162,Vertical integral of northward geopotential flux,an,p74.162,
75.162,Vertical integral of eastward total energy flux,an,p75.162,
76.162,Vertical integral of northward total energy flux,an,p76.162,
77.162,Vertical integral of eastward ozone flux,an,p77.162,
78.162,Vertical integral of northward ozone flux,an,p78.162,
79.162,Vertical integral of divergence of cloud liquid water flux,an,p79.162,
80.162,Vertical integral of divergence of cloud frozen water flux,an,p80.162,
81.162,Vertical integral of divergence of mass flux,an,p81.162,
82.162,Vertical integral of divergence of kinetic energy flux,an,p82.162,
83.162,Vertical integral of divergence of thermal energy flux,an,p83.162,
84.162,Vertical integral of divergence of moisture flux,an,p84.162,
85.162,Vertical integral of divergence of geopotential flux,an,p85.162,
86.162,Vertical integral of divergence of total energy flux,an,p86.162,
87.162,Vertical integral of divergence of ozone flux,an,p87.162,
88.162,Vertical integral of eastward cloud liquid water flux,an,p88.162,
89.162,Vertical integral of northward cloud liquid water flux,an,p89.162,
90.162,Vertical integral of eastward cloud frozen water flux,an,p90.162,
91.162,Vertical integral of northward cloud frozen water flux,an,p91.162,
92.162,Vertical integral of mass tendency,an,p92.162,
134.128,Surface pressure,an,sp,
136.128,Total column water,an,tcw,
137.128,Total column water vapour,an,tcwv,
139.128,Soil temperature level 1,an,stl1,1
141.128,Snow depth,an,sd,1
148.128,Charnock,an,chnk,
151.128,Mean sea level pressure,an,msl,
164.128,Total cloud cover,an,tcc,
165.128,10 metre U wind component,an,u10,
166.128,10 metre V wind component,an,v10,
167.128,2 metre temperature,an,t2m,
168.128,2 metre dewpoint temperature,an,d2m,
169.128,Surface solar radiation downwards,fc,ssrd,
170.128,Soil temperature level 2,an,stl2,1
172.128,Land-sea mask,an,lsm,1
173.128,Surface roughness,an,sr,
174.128,Albedo,an,al,
183.128,Soil temperature level 3,an,stl3,1
186.128,Low cloud cover,an,lcc,
187.128,Medium cloud cover,an,mcc,
188.128,High cloud cover,an,hcc,
198.128,Skin reservoir content,an,src,
206.128,Total column ozone,an,tco3,
234.128,Logarithm of surface roughness length for heat,an,lsrh,
235.128,Skin temperature,an,skt,
236.128,Soil temperature level 4,an,stl4,1
238.128,Temperature of snow layer,an,tsn,